particleid,straight_line_length_2d_ft,straight_line_length_3d_ft,x_start,y_start,z_start,x_end,y_end,z_end,total_volume_cubic_ft,hyporheic_volume_cubic_ft,total_residence_time_days,total_length_ft,particle_velocity_ft_per_day,flow_rate_cubic_ft_per_day,starting_hydraulic_head,ending_hydraulic_head,hydraulic_gradient,x_cell_size_ft,y_cell_size_ft,z_cell_size_ft
224,155.47478813719013,155.49642209828062,2407278.5149272773,10515570.360625861,1604.09375,2407269.9957622383,10515415.119414924,1601.5,348682.87353515625,52201.220703125,59.182022,166.84387,1.8747658,33022.840294551206,1604.71802,1602.08997,0.01690103196290257,10.0,10.0,0.5
225,166.31897329500816,166.3501164095419,2407288.5149272773,10515570.360625861,1604.6875,2407272.156162629,10515404.848113654,1601.46875,328198.81591796875,51713.0126953125,67.74722,187.60738,1.8269044,34883.72029193074,1604.71436,1601.83386,0.01731588809296894,10.0,10.0,0.5
226,108.61296109437188,108.62247338344649,2407228.5149272773,10515580.360625861,1604.0,2407240.841709504,10515472.449432014,1602.5625,298695.8740234375,51254.9560546875,55.627113,117.20174,1.055064,39214.49898854975,1604.74976,1602.69922,0.018877677299442227,10.0,10.0,0.5
227,121.89748400385118,121.90960055726397,2407238.5149272773,10515580.360625861,1603.96875,2407249.091831574,10515458.92288172,1602.25,323950.13427734375,51784.0087890625,62.694794,129.88087,1.0350335,36062.98337857748,1604.74768,1602.69934,0.016802122151469905,10.0,10.0,0.5
228,148.70136216862252,148.71523488656547,2407248.5149272773,10515580.360625861,1603.96875,2407256.896397004,10515431.89566004,1601.9375,342796.32568359375,52427.34375,66.377014,154.35034,1.1720822,33827.678835651604,1604.74463,1602.62671,0.014241446087318388,10.0,10.0,0.5
229,157.54962759046236,157.56659801538962,2407258.5149272773,10515580.360625861,1603.96875,2407263.3584331367,10515422.88546717,1601.65625,370778.40576171875,53011.12060546875,64.31851,163.50671,1.5062418,31631.8835711163,1604.74048,1602.08997,0.01682152203185261,10.0,10.0,0.5
230,165.24848912901166,165.26692919632646,2407268.5149272773,10515580.360625861,1603.96875,2407267.350254426,10515415.116241096,1601.5,381193.7255859375,52886.1572265625,68.84556,173.40973,1.5482148,31021.7371517122,1604.73633,1602.08997,0.016012640961315702,10.0,10.0,0.5
231,174.6558282596334,174.67371967488,2407278.5149272773,10515580.360625861,1604.0,2407269.806675324,10515405.922027228,1601.5,367844.54345703125,52606.9091796875,75.21648,190.6842,1.5961608,31200.3965716075,1604.73376,1601.83386,0.016601810537942952,10.0,10.0,0.5
232,187.91578654371162,187.94806063244786,2407288.5149272773,10515580.360625861,1604.73291015625,2407272.0365337227,10515393.16873133,1601.25,338876.1474609375,52525.4638671875,82.499176,214.44992,1.7236159,33505.47680756869,1604.73291,1601.6853,0.016215171307139852,10.0,10.0,0.5
234,122.76554280512941,122.77359667005183,2407228.5149272773,10515590.360625861,1603.96875,2407241.819492707,10515468.318145392,1602.5625,324077.08740234375,51823.44970703125,78.34922,132.24423,0.8386677,36100.115481332985,1604.75159,1602.69922,0.016716705021811457,10.0,10.0,0.5
235,137.9271838026702,137.9378923041021,2407238.5149272773,10515590.360625861,1603.96875,2407250.7427104805,10515452.976531623,1602.25,347097.25341796875,52308.33740234375,86.38667,146.09541,0.8712452,33630.00512483336,1604.75012,1602.69604,0.014891339614436023,10.0,10.0,0.5
